"item","text","reverse","camel"
125,"My temper scared people.",FALSE,"emotionality"
126,"Many people thought that my behavior was really strange.",FALSE,"eccentricity"
127,"I was easily startled.",FALSE,"hypervigilance"
128,"My mood was negatively affected when I was unable to game as long as I wanted.",FALSE,"gaming"
129,"My compulsive buying caused me financial problems.",FALSE,"hoarding"
130,"I thought it may be possible for other people to read my mind, or for me to read other's minds.",FALSE,"realityDistortion"
131,"I used substances during sex to encourage my partner to use substances too.",FALSE,"sexRelatedSubstanceUse"
132,"I felt good about myself.",FALSE,"wellBeing"
133,"I experienced chest pain.",FALSE,"bodilyDistress"
134,"I kept items that I did not need.",FALSE,"hoarding"
135,"I was easily annoyed.",FALSE,"emotionality"
136,"I was so worked up I thought I might die.",FALSE,"panic"
137,"I got angry when people did not take my health problems seriously.",FALSE,"diseaseConviction"
138,"I was concerned that other persons might bring me harm.",FALSE,"hypervigilance"
139,"I had trouble sitting still.",FALSE,"restlessness"
140,"Even on days off, I found myself thinking about work.",FALSE,"workaholism"
141,"I avoided taking risks at all costs.",FALSE,"riskAversion"
142,"I avoided people who might bring back bad memories.",FALSE,"traumaReactions"
143,"My work success was the most valuable aspect of my life.",FALSE,"workaholism"
144,"My appetite was poor.",FALSE,"appetiteLoss"
145,"I felt optimistic.",FALSE,"wellBeing"
146,"I counted things over and over again.",FALSE,"counting"
147,"I enjoyed looking in the mirror.",FALSE,"grandiosity"
148,"I mocked people.",FALSE,"socialAggression"
149,"I had a hard time staying in my seat when I was supposed to be seated.",FALSE,"restlessness"
150,"I didn't care whether my behavior was considered proper or not.",FALSE,"oppositionality"
151,"I found it difficult to reach orgasm.",FALSE,"difficultiesReachingOrgasm"
152,"I had no interest in romantic relationships.",FALSE,"romanticDisinterest"
153,"I used substances to reduce anxiety during sexual activity.",FALSE,"sexRelatedSubstanceUse"
154,"I lost myself in a fictional character.",FALSE,"fantasyProneness"
155,"I was obsessed with cleanliness.",FALSE,"cleaning"
156,"I threatened someone with a weapon like a bat, brick, knife, or gun.",FALSE,"antisocialBehavior"
157,"I tried to kill myself.",FALSE,"suicidality"
158,"Major decisions took months of careful consideration to arrive at a choice.",FALSE,"hyperdeliberation"
159,"I quit working (my job, homework, or housework) before I was finished.",FALSE,"nonPersistence"
160,"I did things to get others to notice me.",FALSE,"exhibitionism"
161,"I became very anxious during a storm.",FALSE,"specificPhobiaIndex"
162,"I enjoyed being the center of attention.",FALSE,"exhibitionism"
163,"I spent more money shopping than I could afford.",FALSE,"problematicShopping"
164,"I had trouble standing up for myself.",FALSE,"submissiveness"
165,"Special messages were written in papers or announced on TV just for me.",FALSE,"realityDistortion"
166,"Things went best when I told others what to do.",FALSE,"domineering"
167,"I forged checks or used other people's credit cards without permission.",FALSE,"antisocialBehavior"
168,"I felt that things around me were not real.",FALSE,"dissociation"
169,"I recognized that I had a lot of special qualities.",FALSE,"grandiosity"
170,"I felt worthless.",FALSE,"distressDysphoria"
171,"I noticed small changes to how my body feels.",FALSE,"somaticPreoccupation"
172,"I made decisions only after I had all the information I could get.",FALSE,"hyperdeliberation"
173,"I was afraid of heights.",FALSE,"specificPhobiaIndex"
174,"I spread rumors about other people.",FALSE,"socialAggression"
175,"I tried to con or cheat other people.",FALSE,"dishonesty"
176,"I had the experience that everything suddenly seemed unfamiliar and I forgot where I was.",FALSE,"dissociation"
177,"I kept gaming, even though it caused problems at work or school.",FALSE,"gaming"
178,"I felt like I could go for days without sleeping.",FALSE,"manicEnergy"
179,"I was something of a workaholic.",FALSE,"workaholism"
180,"I engaged in sexual activities that I later regretted.",FALSE,"riskySex"
181,"I believed that if you are not careful, other people will take advantage of you.",FALSE,"mistrust"
182,"I enjoyed thinking about my future and the great things it would bring.",FALSE,"grandiosity"
183,"I found watching unsuspecting people who were naked, masturbating, or having sex sexually arousing.",FALSE,"paraphilias"
184,"I found it hard to resist the urge to shop.",FALSE,"problematicShopping"
185,"I vandalized or defaced public property.",FALSE,"antisocialBehavior"
186,"I was proud of myself.",FALSE,"wellBeing"
187,"I found romantic relationships to be tiresome.",FALSE,"romanticDisinterest"
188,"I considered using syrup of ipecac, enemas, or suppositories to lose weight.",FALSE,"purging"
189,"My needs and wants came first.",FALSE,"entitlement"
190,"I went out of my way to avoid risks.",FALSE,"riskAversion"
191,"I paid close attention to how my body feels.",FALSE,"somaticPreoccupation"
192,"I pulled out hairs that were a different color or texture.",FALSE,"trichotillomania"
193,"My mind wandered far away from the present.",FALSE,"fantasyProneness"
194,"I was overwhelmed by anxiety.",FALSE,"distressDysphoria"
195,"People told me that I was too perfectionistic.",FALSE,"perfectionism"
196,"I bet more money than I could really afford to lose.",FALSE,"gambling"
197,"I focused on eating more healthy foods.",FALSE,"dietaryRestraint"
198,"I experienced sudden muscle weakness or paralysis.",FALSE,"conversionSymptoms"
199,"I felt compelled to count things.",FALSE,"counting"
200,"My mood changed suddenly for no good reason.",FALSE,"emotionality"
201,"I paid a lot of attention to how I look.",FALSE,"bodyFocus"
202,"I lost a significant amount of weight without even trying.",FALSE,"appetiteLoss"
203,"I experienced a sudden sensory loss (e.g., seeing or hearing problems) that doctors could not explain.",FALSE,"conversionSymptoms"
204,"I quickly went from being sad to being happy.",FALSE,"emotionality"
205,"I spent time planning how to reduce my food intake.",FALSE,"dietaryRestraint"
206,"I was cautious.",FALSE,"riskAversion"
207,"I enjoyed activities that were a little bit dangerous.",FALSE,"riskTaking"
208,"I avoided places that reminded me of something bad that happened.",FALSE,"traumaReactions"
209,"I felt that the world is a dangerous place.",FALSE,"hypervigilance"
210,"I was sensitive to changes in my body.",FALSE,"somaticPreoccupation"
211,"I did not have much sympathy for others.",FALSE,"callousness"
212,"People told me that I did not eat enough.",FALSE,"restrictedEating"
213,"I was a rule breaker.",FALSE,"oppositionality"
214,"I was grouchy.",FALSE,"emotionality"
215,"I bit myself on purpose.",FALSE,"nssi"
216,"I strove for perfection, even when others said that I should move on.",FALSE,"perfectionism"
217,"I had an illness or disease that others dismissed.",FALSE,"diseaseConviction"
218,"When in public, I liked to stand out.",FALSE,"exhibitionism"
219,"I failed to consider the consequences of an action.",FALSE,"nonPlanfulness"
220,"My fantasies felt very real to me.",FALSE,"fantasyProneness"
221,"I saw a person but then realized it was just a shadow.",FALSE,"realityDistortion"
222,"Seeing something gory made me woozy.",FALSE,"specificPhobiaIndex"
223,"I believed other people could actually hear my thoughts.",FALSE,"realityDistortion"
224,"I felt very stressed.",FALSE,"distressDysphoria"
225,"I was rigid and inflexible in my approach to doing things.",FALSE,"rigidity"
226,"I said things that were not true.",FALSE,"dishonesty"
227,"I felt on guard and on edge.",FALSE,"hypervigilance"
228,"I tried to break up someone else's friendship or romantic relationship.",FALSE,"socialAggression"
229,"I felt the need to stand up when I should have been sitting down.",FALSE,"restlessness"
230,"I found exposing my genitals to a stranger sexually arousing.",FALSE,"paraphilias"
231,"My moods were intense and unpredictable.",FALSE,"emotionality"
232,"I felt faint at the sight of blood.",FALSE,"specificPhobiaIndex"
233,"I had very little energy.",FALSE,"distressDysphoria"
234,"My mind felt mixed up.",FALSE,"cognitiveProblems"
235,"At times, I just wanted to feel pain.",FALSE,"nssi"
236,"People told me I was coldhearted.",FALSE,"callousness"
237,"I tried to conceal areas where I had picked at my skin.",FALSE,"excoriation"
238,"I found sex physically uncomfortable.",FALSE,"sexualPain"
239,"I broke into houses, buildings, or cars.",FALSE,"antisocialBehavior"
240,"Reading articles about disease made me worry about my health.",FALSE,"healthAnxiety"
241,"Some people were out to harm me.",FALSE,"mistrust"
242,"I lost things that I needed.",FALSE,"disorganization"
243,"I said things without thinking.",FALSE,"nonPlanfulness"
244,"I wanted well-defined stomach muscles.",FALSE,"muscleBuilding"
245,"I did not experience enough sexual arousal (penile erection or vaginal lubrication) to enjoy sex.",FALSE,"lowSexualArousal"
246,"I struggled to think clearly.",FALSE,"cognitiveProblems"
247,"I could feel changes in my body.",FALSE,"somaticPreoccupation"
248,"I found touching or rubbing against a stranger sexually arousing.",FALSE,"paraphilias"
249,"I looked for ways to make time for gaming.",FALSE,"gaming"
250,"I was not all that concerned with other peoples' needs.",FALSE,"callousness"
251,"People talked behind my back.",FALSE,"mistrust"
252,"I did not like taking chances.",FALSE,"riskAversion"
253,"I thought about things in unusual ways.",FALSE,"eccentricity"
254,"I was afraid of flying.",FALSE,"specificPhobiaIndex"
255,"I did not like my weight (the number on the scale).",FALSE,"bodyDissatisfaction"
256,"People said I am strange.",FALSE,"eccentricity"
257,"I used certain medications (e.g. laxatives, diuretics) to lose weight.",FALSE,"purging"
258,"I preferred to do things the safest way possible.",FALSE,"riskAversion"
259,"I heard things that no one else could hear.",FALSE,"realityDistortion"
260,"I avoided small, tight, or enclosed spaces.",FALSE,"agoraphobia"
261,"People were basically selfish with little concern for others.",FALSE,"mistrust"
262,"People said I could be a bully.",FALSE,"socialAggression"
263,"I had angry outbursts.",FALSE,"emotionality"
264,"I felt that other persons were acting against me.",FALSE,"mistrust"
265,"I had blank spells or periods of missing time.",FALSE,"dissociation"
266,"I exercised more than was good for me.",FALSE,"excessiveExercise"
267,"Nightmares caused me to wake up at night.",FALSE,"nightmares"
268,"I forced someone to have sex with me.",FALSE,"antisocialBehavior"
269,"I paid my bills late or missed other important deadlines.",FALSE,"disorganization"
270,"I was very irritable.",FALSE,"emotionality"
271,"I was dissatisfied with the shape of my body.",FALSE,"bodyDissatisfaction"
272,"I was frustrated with having to convince others I had a real illness.",FALSE,"diseaseConviction"
273,"I could not return to a task after getting distracted.",FALSE,"nonPersistence"
274,"I got in trouble with the law.",FALSE,"antisocialBehavior"
275,"It was painful for me to have (or try to have) penetrative vaginal or anal intercourse.",FALSE,"sexualPain"
276,"I felt like I was outside of my body.",FALSE,"dissociation"
277,"I was very set in my ways.",FALSE,"rigidity"
278,"I was happiest when I was alone.",FALSE,"socialAloofness"
279,"Bulking up muscle while staying lean was a main fitness goal for me.",FALSE,"muscleBuilding"
280,"I smelled things that were not actually there.",FALSE,"realityDistortion"
281,"I was worried about my sex life.",FALSE,"sexualDistress"
282,"I had a recurring bad dream.",FALSE,"nightmares"
283,"I was acutely aware of what was going on with my body.",FALSE,"somaticPreoccupation"
284,"I felt uninterested during sexual activity",FALSE,"lowSexualInterest"
285,"I exercised until I felt sick.",FALSE,"excessiveExercise"
286,"During sex, I usually climaxed very quickly.",FALSE,"prematureOrgasm"
287,"I hid my emotions.",FALSE,"restrictedAffectivity"
288,"I felt a lot more hyper or active than usual.",FALSE,"manicEnergy"
289,"I put a lot of thought into ideas before I took any action.",FALSE,"hyperdeliberation"
290,"I used substances to make my partner more appealing.",FALSE,"sexRelatedSubstanceUse"
291,"I avoided small public spaces (such as an office or restaurant).",FALSE,"agoraphobia"
292,"I engaged in risky sexual activity.",FALSE,"riskySex"
293,"I vomited to control my weight.",FALSE,"purging"
294,"I was a messy person.",FALSE,"disorganization"
295,"Gambling caused me to go into debt.",FALSE,"gambling"
296,"I worried about getting germs through contact with animals.",FALSE,"cleaning"
297,"It was difficult to find healthcare providers who recognized my illness.",FALSE,"diseaseConviction"
298,"I hurt myself on purpose.",FALSE,"nssi"
299,"I was unable to concentrate on a task when it was uninteresting to me.",FALSE,"nonPersistence"
300,"Nothing seemed interesting to me.",FALSE,"distressDysphoria"
301,"I liked attracting the attention of others.",FALSE,"exhibitionism"
302,"I found myself worrying whether I actually did something or only intended to do it.",FALSE,"checking"
303,"I found it easy to deceive others.",FALSE,"dishonesty"
304,"I felt nervous and on edge.",FALSE,"distressDysphoria"
305,"I had trouble telling whether something really happened or I just imagined it.",FALSE,"dissociation"
306,"I could not feel things I touched.",FALSE,"conversionSymptoms"
307,"I insulted others.",FALSE,"socialAggression"
308,"I was afraid that I might be having a heart attack.",FALSE,"panic"
309,"People told me I exercised too much.",FALSE,"excessiveExercise"
310,"I was happiest when I was in a romantic relationship.",TRUE,"romanticDisinterest"
311,"I felt like I no longer existed.",FALSE,"dissociation"
312,"I had to clean myself because I felt contaminated.",FALSE,"cleaning"
313,"I carefully weighed out the pros and cons before I made any decision.",FALSE,"hyperdeliberation"
314,"I experienced loss of consciousness or had fainting spells (in the absence of a diagnosed medical disorder)",FALSE,"conversionSymptoms"
315,"I refused to compromise because I knew I was right.",FALSE,"rigidity"
316,"Sexual activity was even more enjoyable for me when I was intoxicated/high.",FALSE,"sexRelatedSubstanceUse"
317,"I felt the urge to check to make sure I really had done something.",FALSE,"checking"
318,"I spent too much time thinking about illnesses I might have.",FALSE,"healthAnxiety"
319,"I had much more energy than usual.",FALSE,"manicEnergy"
320,"I avoided foods because of their smell or texture.",FALSE,"foodSelectivity"
321,"I didn't respond to things that other people found emotional.",FALSE,"restrictedAffectivity"
322,"After I left my home, I worried that I failed to do something.",FALSE,"checking"
323,"I was afraid of getting stung or bitten.",FALSE,"specificPhobiaIndex"
324,"I was bothered by several bodily symptoms (e.g., headache, fatigue or stomach problems) for which there was no clear or sufficient medical explanation.",FALSE,"bodilyDistress"
325,"I thought about killing myself.",FALSE,"suicidality"
326,"I had so much energy that others couldn't keep up with me.",FALSE,"manicEnergy"
327,"I made people believe almost anything.",FALSE,"dishonesty"
328,"I dressed so as to call attention to myself.",FALSE,"exhibitionism"
329,"I did not really care how others felt.",FALSE,"callousness"
330,"I suddenly felt as if a traumatic event were actually happening again.",FALSE,"traumaReactions"
331,"The sight of a needle upset me.",FALSE,"specificPhobiaIndex"
332,"I was afraid that I might suffer from a serious illness",FALSE,"healthAnxiety"
333,"I slept very poorly.",FALSE,"insomnia"
334,"I kept my shopping a secret.",FALSE,"problematicShopping"
335,"I spent a lot of time grooming myself.",FALSE,"bodyFocus"
336,"Some people thought I was self-centered.",FALSE,"entitlement"
337,"I had trouble planning and keeping to schedules.",FALSE,"disorganization"
338,"Romantic relationships seemed like a hassle to me.",FALSE,"romanticDisinterest"
339,"I could have improved on my organizational skills.",FALSE,"disorganization"
340,"I was a thrill-seeker.",FALSE,"riskTaking"
341,"Even when I was very careful, I worried whether I had done something correctly.",FALSE,"checking"
342,"I kept gambling even though it caused problems in my relationships.",FALSE,"gambling"
343,"I was ashamed of myself.",FALSE,"distressDysphoria"
344,"I tensed up during sexual activity due to pain.",FALSE,"sexualPain"
345,"Others could easily take advantage of me because I was too passive.",FALSE,"submissiveness"
346,"I tried to limit the number of fatty foods I ate.",FALSE,"dietaryRestraint"
347,"I was afraid of the dark.",FALSE,"specificPhobiaIndex"
348,"I engaged in unprotected sex.",FALSE,"riskySex"
349,"I thought that certain numbers were lucky for me.",FALSE,"counting"
350,"I spent a lot of time getting ready before going out.",FALSE,"bodyFocus"
351,"When in a group, I liked to be in control.",FALSE,"domineering"
352,"Others could not be trusted.",FALSE,"mistrust"
353,"I avoided contact with people because I was worried about germs.",FALSE,"cleaning"
354,"I examined every single option before making a selection.",FALSE,"hyperdeliberation"
355,"I demanded perfection from myself.",FALSE,"perfectionism"
356,"People admired me.",FALSE,"grandiosity"
357,"I woke up early and could not get back to sleep.",FALSE,"insomnia"
358,"I ate a very large amount of food in a short period of time (e.g., within 2 hours).",FALSE,"bingeEating"
359,"I had trouble staying asleep.",FALSE,"insomnia"
360,"I was never on time.",FALSE,"disorganization"
361,"I went a long time without eating.",FALSE,"restrictedEating"
362,"I made excuses to avoid eating.",FALSE,"restrictedEating"
363,"I was easily distracted.",FALSE,"cognitiveProblems"
364,"Many types of food disgusted me.",FALSE,"foodSelectivity"
365,"I felt depressed.",FALSE,"distressDysphoria"
366,"I picked at areas of my skin that I don't like.",FALSE,"excoriation"
367,"Took a lot of effort to get going.",FALSE,"distressDysphoria"
368,"I reached orgasm sooner than I wanted to.",FALSE,"prematureOrgasm"
369,"It was important to me to build muscle mass and eliminate body fat.",FALSE,"muscleBuilding"
370,"I felt shy around other people.",FALSE,"socialAnxiety"
371,"My muscles were weak.",FALSE,"bodilyDistress"
372,"Being muscular was very important to me.",FALSE,"muscleBuilding"
373,"I thought a lot about death.",FALSE,"suicidality"
374,"I took time to consider all possible outcomes before making any decision.",FALSE,"hyperdeliberation"
375,"It was difficult for me to stay sexually aroused once sexual activity had started.",FALSE,"lowSexualArousal"
376,"I didn't express my emotions.",FALSE,"restrictedAffectivity"
377,"I was willing to tell a small lie to make things easier for myself.",FALSE,"dishonesty"
378,"My thoughts kept jumping from one thing to another.",FALSE,"cognitiveProblems"
379,"I was jealous of what other people have.",FALSE,"entitlement"
380,"I didn't experience the joy and pleasure that most other people do.",FALSE,"distressDysphoria"
381,"I could not resist buying something that I did not need.",FALSE,"hoarding"
382,"I felt guilty about sexual difficulties",FALSE,"sexualDistress"
383,"I avoided numbers that could bring bad luck.",FALSE,"counting"
384,"I avoided activities where I would need to sit down for long.",FALSE,"restlessness"
385,"I had a sensation that something was crawling under my skin.",FALSE,"realityDistortion"
386,"I felt worn out.",FALSE,"distressDysphoria"
387,"I cut myself on purpose.",FALSE,"nssi"
388,"It was difficult for me to get sexually aroused.",FALSE,"lowSexualArousal"
389,"I did not feel much like eating.",FALSE,"appetiteLoss"
390,"I found it enjoyable to hurt animals.",FALSE,"antisocialBehavior"
391,"I acted on impulse.",FALSE,"nonPlanfulness"
392,"Once I started eating, I could not stop.",FALSE,"bingeEating"
393,"I felt the need to wash my hands again and again.",FALSE,"cleaning"
394,"I was disgusted with myself.",FALSE,"distressDysphoria"
395,"I did not concern myself with helping people.",FALSE,"callousness"
396,"I felt like I could keep going and going without ever getting tired.",FALSE,"manicEnergy"
397,"I was trembling or shaking.",FALSE,"panic"
398,"I could not resist eating.",FALSE,"bingeEating"
399,"I did things on purpose that were against the rules.",FALSE,"oppositionality"
400,"I had periods of unexplained blindness.",FALSE,"conversionSymptoms"
401,"The sight of an insect (e.g., a cockroach) upset me.",FALSE,"specificPhobiaIndex"
402,"I felt like I was in danger.",FALSE,"hypervigilance"
403,"I avoided areas where there might be snakes or lizards.",FALSE,"specificPhobiaIndex"
404,"I intentionally scratched my skin so severely that it started bleeding.",FALSE,"nssi"
405,"I had repeated memories of a traumatic event.",FALSE,"traumaReactions"
