"Scale","Brief"
"Social Aggression","Harming others socially by spreading rumors, lying, insulting, or disrupting relationships"
"Social Aloofness","Disinterest in social interaction, leading to avoidance and preference for being alone"
"Social Anxiety","Fear and avoidance of social situations, marked by shyness and worry about being negatively evaluated"
"Somatic Preoccupation","Increased sensitivity to bodily sensations, with ongoing awareness of internal changes"
"Specific Phobia Index","Broad pattern of phobic reactions spanning animals, medical settings, and various situations"
"Submissiveness","Tendency to be timid and unassertive, often leading to being overlooked or taken advantage of"
"Suicidality","General thoughts of death and more specific suicidal thoughts, plans, or attempts"
"Trauma Reactions","Recurrent memories or flashbacks of trauma, paired with avoidance of related people, places, or thoughts"
"Trichotillomania","Persistent urge-driven or automatic hair pulling that leads to noticeable hair loss and distress"
"Well-being","Feelings of positive emotion, such as being happy, excited, proud, or motivated"
"Workaholism","Excessive focus on productivity and achievement, prioritizing work over relationships or leisure"
